frame,time_s,distance_m,diameter_m,radius_px,diameter_px
0,0.0,2.0,0.0216,38,76
1,0.016667,1.983333,0.021782,39,78
2,0.033333,1.966667,0.021966,39,78
3,0.05,1.95,0.022154,39,78
4,0.066667,1.933333,0.022345,40,80
5,0.083333,1.916667,0.022539,40,80
6,0.1,1.9,0.022737,40,80
7,0.116667,1.883333,0.022938,41,82
8,0.133333,1.866667,0.023143,41,82
9,0.15,1.85,0.023351,41,82
10,0.166667,1.833333,0.023564,42,84
11,0.183333,1.816667,0.02378,42,84
12,0.2,1.8,0.024,43,86
13,0.216667,1.783333,0.024224,43,86
14,0.233333,1.766667,0.024453,43,86
15,0.25,1.75,0.024686,44,88
16,0.266667,1.733333,0.024923,44,88
17,0.283333,1.716667,0.025165,45,90
18,0.3,1.7,0.025412,45,90
19,0.316667,1.683333,0.025663,46,92
20,0.333333,1.666667,0.02592,46,92
21,0.35,1.65,0.026182,46,92
22,0.366667,1.633333,0.026449,47,94
23,0.383333,1.616667,0.026722,47,94
24,0.4,1.6,0.027,48,96
25,0.416667,1.583333,0.027284,48,96
26,0.433333,1.566667,0.027574,49,98
27,0.45,1.55,0.027871,50,100
28,0.466667,1.533333,0.028174,50,100
29,0.483333,1.516667,0.028484,51,102
30,0.5,1.5,0.0288,51,102
31,0.516667,1.483333,0.029124,52,104
32,0.533333,1.466667,0.029455,52,104
33,0.55,1.45,0.029793,53,106
34,0.566667,1.433333,0.03014,54,108
35,0.583333,1.416667,0.030494,54,108
36,0.6,1.4,0.030857,55,110
37,0.616667,1.383333,0.031229,56,112
38,0.633333,1.366667,0.03161,56,112
39,0.65,1.35,0.032,57,114
40,0.666667,1.333333,0.0324,58,116
41,0.683333,1.316667,0.03281,58,116
42,0.7,1.3,0.033231,59,118
43,0.716667,1.283333,0.033662,60,120
44,0.733333,1.266667,0.034105,61,122
45,0.75,1.25,0.03456,62,124
46,0.766667,1.233333,0.035027,62,124
47,0.783333,1.216667,0.035507,63,126
48,0.8,1.2,0.036,64,128
49,0.816667,1.183333,0.036507,65,130
50,0.833333,1.166667,0.037029,66,132
51,0.85,1.15,0.037565,67,134
52,0.866667,1.133333,0.038118,68,136
53,0.883333,1.116667,0.038687,69,138
54,0.9,1.1,0.039273,70,140
55,0.916667,1.083333,0.039877,71,142
56,0.933333,1.066667,0.0405,72,144
57,0.95,1.05,0.041143,73,146
58,0.966667,1.033333,0.041806,75,150
59,0.983333,1.016667,0.042492,76,152
60,1.0,1.0,0.0432,77,154
61,1.016667,0.983333,0.043932,78,156
62,1.033333,0.966667,0.04469,80,160
63,1.05,0.95,0.045474,81,162
64,1.066667,0.933333,0.046286,83,166
65,1.083333,0.916667,0.047127,84,168
66,1.1,0.9,0.048,86,172
67,1.116667,0.883333,0.048906,87,174
68,1.133333,0.866667,0.049846,89,178
69,1.15,0.85,0.050824,91,182
70,1.166667,0.833333,0.05184,93,186
71,1.183333,0.816667,0.052898,94,188
72,1.2,0.8,0.054,96,192
73,1.216667,0.783333,0.055149,98,196
74,1.233333,0.766667,0.056348,101,202
75,1.25,0.75,0.0576,103,206
76,1.266667,0.733333,0.058909,105,210
77,1.283333,0.716667,0.060279,108,216
78,1.3,0.7,0.061714,110,220
79,1.316667,0.683333,0.06322,113,226
80,1.333333,0.666667,0.0648,116,232
81,1.35,0.65,0.066462,119,238
82,1.366667,0.633333,0.068211,122,244
83,1.383333,0.616667,0.070054,125,250
84,1.4,0.6,0.072,129,258
85,1.416667,0.583333,0.074057,132,264
86,1.433333,0.566667,0.076235,136,272
87,1.45,0.55,0.078545,140,280
88,1.466667,0.533333,0.081,145,290
89,1.483333,0.516667,0.083613,150,300
90,1.5,0.5,0.0864,155,310
91,1.516667,0.483333,0.089379,160,320
92,1.533333,0.466667,0.092571,166,332
93,1.55,0.45,0.096,172,344
94,1.566667,0.433333,0.099692,178,356
95,1.583333,0.416667,0.10368,186,372
96,1.6,0.4,0.108,193,386
97,1.616667,0.383333,0.112696,202,404
98,1.633333,0.366667,0.117818,211,422
99,1.65,0.35,0.123429,221,442
100,1.666667,0.333333,0.1296,232,464
101,1.683333,0.316667,0.136421,244,488
102,1.7,0.3,0.144,258,516
103,1.716667,0.283333,0.152471,273,546
104,1.733333,0.266667,0.162,290,580
105,1.75,0.25,0.1728,310,620
106,1.766667,0.233333,0.185143,332,664
107,1.783333,0.216667,0.199385,357,714
108,1.8,0.2,0.216,387,774
109,1.816667,0.183333,0.235636,422,844
110,1.833333,0.166667,0.2592,465,930
111,1.85,0.15,0.288,516,1032
112,1.866667,0.133333,0.324,581,1162
113,1.883333,0.116667,0.370286,664,1328
114,1.9,0.1,0.432,775,1550
115,1.916667,0.083333,0.5184,930,1860
116,1.933333,0.066667,0.648,1162,2324
117,1.95,0.05,0.864,1550,3100
118,1.966667,0.033333,1.296,2325,4650
119,1.983333,0.016667,2.592,4651,9302
